paperId,title,publicationDate,hypothesis_4omini
97a10118367c4c1a2fc6f2bca842cc3a1dec3c8c,Communication in the Gig Economy: Buying and Selling in Online Freelance Marketplaces,2021-06-22,"Buyers and freelancers in online freelance marketplaces can achieve success by balancing communication uncertainty rather than merely reducing it, with specific strategies regarding task information, personal information, and affective intensity influencing bid attraction and success."
26602414e6533385b33c94fe67fbf7b2eae185e2,Commentary: Managing Human Experience as a Core Marketing Capability,2021-01-01,"The shift from ""solid"" material goods to ""liquid"" experiential goods is a broader concept that deserves more weight in considering how to deepen perceived ownership in the eye of the consumer, and experiences are not only replacing material goods but also being used to enhance them. Marketers should build internal capabilities to manage the shift to experiences in the face of digitization."
24fdc66df1e5635353b1aeae9cef4e3a767fc77f,"Conceptual Contributions in Marketing Scholarship: Patterns, Mechanisms, and Rebalancing Options",2023-08-07,"The study finds that conceptual contributions in marketing scholarship have increasingly favored ""envisioning"" and ""explicating"" over ""relating"" and ""debating,"" with a prevalent thought style shaping these contributions, and suggests rebalancing options to enhance the latter contributions while maintaining current strengths."
1b609c86d03dcf5a9950bc155a897df3470cb81b,Conducting Research in Marketing with Quasi-Experiments,2022-02-10,"The article aims to broaden the understanding of quasi-experimental methods in marketing by identifying causal relationships between actions and marketing outcomes, emphasizing the importance of empirical strategies and behavioral mechanisms in reinforcing causality."
53255e29c7588fa025869f8e9a1548535e3907c6,Consumer Self-Control and the Biological Sciences: Implications for Marketing Stakeholders,2020-12-08,"The appreciation of biological underpinnings of human behavior can alter the beliefs and actions of marketing stakeholders, and narrowing the gap between scientific and lay perspectives is crucial for improving welfare."
5ab9776bf67a6470951a932d5f9a1beaf1cec184,Consumers and Artificial Intelligence: An Experiential Perspective,2020-10-16,"This research aims to bridge the perspectives of the benefits of AI technology for consumers and the social and individual challenges that arise from its deployment, identifying four types of consumer experiences with AI: data capture, classification, delegation, and social, while discussing policy and managerial avenues to enhance consumer value."
dab3e7ab80304c805aaa761ef458c7b61d7e8e4f,Cueing Morality: The Effect of High-Pitched Music on Healthy Choice,2020-07-03,"Listening to higher-pitched music increases consumers' likelihood to choose healthy options, choose lower-calorie foods, and engage in health-boosting activities by raising the salience of morality thoughts."
64bfecd012f4cd410c6d5b2f810f47f87553f22b,Customer Experience Journeys: Loyalty Loops Versus Involvement Spirals,2020-05-13,"The study proposes that customer experience journeys can be categorized into two models—loyalty loops and involvement spirals—each influencing customer behavior differently, with loyalty loops fostering customer loyalty through predictable experiences and involvement spirals enhancing customer involvement through unpredictable experiences."
6a4184094c8faffe4f40a411dda8173a88128c8c,Customer Satisfaction and Its Impact on the Future Costs of Selling,2020-05-15,"Higher customer satisfaction can lower future cost of selling (COS), but the degree of this benefit depends on the firm's strategy and operating environment. The negative effect of customer satisfaction on future COS is weaker for firms with higher capital intensity and financial leverage, and stronger for more diversified firms and those in industries with higher growth and labor intensity. These effects may vary across the components of COS, cost of persuasion and convenience."
8344c3aca012718b432edbda5fb7050cc05b4ea3,Complaint Publicization in Social Media,2021-02-25,"The phenomenon of complaint publicization in social media occurs when firm responses to complaints increase the potential public exposure of those complaints, negatively impacting perceived quality and firm value, especially for firms targeted by retail investors."
0b7bd623bdd0ff783e4e9ddb2c205df817923c48,Do Animated Line Graphs Increase Risk Inferences?,2021-02-25,"Animated display of time-varying data enhances risk judgments by increasing the visual salience of transitions, leading to inflated risk judgments and consequential investment decisions."
31465e24863fee9a47269f3f9d0bac2ff838dcae,Do Promotions Make Consumers More Generous? The Impact of Price Promotions on Consumers’ Donation Behavior,2021-05-01,"Price promotions increase consumers' perceived resources, which in turn increase consumers' donation behavior, but this effect is attenuated when consumers focus on the amount spent, feel they have overspent, or when savings cannot be realized immediately, and is stronger when solicitation occurs immediately after the promotion."
8875d190ca700b147f03f0e93f93794ac89be3e9,Does Bad Medical News Reduce Preferences for Generic Drugs?,2023-02-03,"Receiving bad medical news prompts patients to favor brand name drugs over generic drugs as a means to safeguard their health, with an observed increase of 8% in the likelihood of choosing brand name alternatives."
9b05d0e999bada8c060452bf1aec218b7f648d4d,Effects of Payment on User Engagement in Online Courses,2021-04-26,"Paying for a certificate in online courses increases user engagement through the certificate effect and the sunk-cost effect, with the certificate effect lasting until the participant reaches the required grade for the certificate and the sunk-cost effect being transient."
790e7db5b09b2065e40e086dca8db369ada1c7ee,Effects of Contract Ambiguity in Interorganizational Governance,2020-03-11,"Contract ambiguity of franchisor obligations increases interest-based conflict solving approaches, leading to greater cooperation and joint problem solving, and reduces franchisee-initiated litigation, with effects amplified by higher levels of franchisor training programs but mitigated by the presence of a franchisee association."
ff3b7b28acf22ba281a524142cd6a21013805a2a,Emotional Calibration and Salesperson Performance,2021-02-18,"The emotional intelligence--sales performance link can be better understood by considering a salesperson's emotional self-efficacy (ESE), and sales performance suffers when salespeople are either overconfident or underconfident in their emotional skills, with optimal performance occurring when they are emotionally calibrated; performance gains associated with emotional calibration are attenuated under stress and occur due to positive avoidance emotions that improve customer rapport, particularly among salespeople with longer job tenures."
24711eb6f265c411200c7f0fb1de080a0d925a4b,Emotional Expressions and Brand Status,2021-07-21,"There is a negative relationship between brand emotionality and brand status, and brands can increase perceived brand status by reducing emotionality in communications, moderated by brand status context and product type."
eb0681cc02362b63108de59e05cd7cd5ffd143a6,Examining Why and When Market Share Drives Firm Profit,2021-06-25,"The positive effect of market share on firm profit is primarily explained by market power and quality signaling, with little support for operating efficiency, and the value of market share varies predictably between firms and across industries."
f3d9c038ad4e7af333ff8feaa08912f35f412a79,Face Forward: How Employees’ Digital Presence on Service Websites Affects Customer Perceptions of Website and Employee Service Quality,2020-07-15,"The digital presence of service employees on the firm website increases customer perceptions of website service quality and employee service quality, which indirectly enhances customer loyalty and financial performance, with effects amplified by employee accessibility and customer orientation. The beneficial spillover effect is specific to service employees and does not extend to product quality evaluations."
e381f59a66eef2a9c5f4084121f236a82e8bd594,Faculty Research Incentives and Business School Health: A New Perspective from and for Marketing,2020-06-18,"The faculty research incentive system misaligns with the actual contributions to business school health, as research quantity positively impacts research health but not other dimensions, while research rigor has a stronger positive effect on research health, and practical importance does not contribute to research health but positively affects teaching health."
baed8e6e83ed931fdb59659fb7c66491123edc33,Fear of Detection and Efficacy of Prevention: Using Construal Level to Encourage Health Behaviors,2020-04-22,"Illness detection evokes fear, which undermines engagement in detection behaviors, while illness prevention is driven by self-efficacy perceptions, and considering prevention at high levels of thought increases persuasion; framing a detection action as serving illness-prevention goals increases engagement with detection tools."
832f983d6ffd2fe033024467660b76122c5563dd,Free Shipping Promotions and Product Returns,2020-05-08,"Free shipping promotions encourage customers to make riskier purchases, leading to more product returns, and while they increase net sales volume, they also result in higher product returns and lost shipping revenue, making these promotions unprofitable."
fcf96e0a58a0e41c3347a205ee5059dec394338d,From Waste to Taste: How “Ugly” Labels Can Increase Purchase of Unattractive Produce,2021-05-01,"""Ugly"" labeling increases the purchase likelihood of unattractive produce by correcting consumers' biased expectations regarding key attributes, particularly tastiness, and is most effective when associated with moderate price discounts."
ee18a968cc6948838149f7858ecad2442451e415,Genetic Data: Potential Uses and Misuses in Marketing,2020-11-03,"The article proposes a framework that incorporates genetic influences into consumer behavior theory, suggesting potential marketing uses of genetic data while evaluating ethical challenges related to autonomy, privacy, misinformation, and discrimination."
f13c7a8a215e3b4330021525a08539771b6e6ef1,GMO Labeling Policy and Consumer Choice,2021-11-22,"Consumer demand for GM foods is influenced by the labeling regime adopted by policymakers, with both absence-focused and presence-focused labeling reducing market share, and the design of labels affecting consumer responses, particularly among those with neutral attitudes toward GMOs."
85f123f26628252d4b75f3e757b26d53550cdc83,Happiness Begets Money: Emotion and Engagement in Live Streaming,2021-02-25,"A happier broadcaster makes the audience happier and begets intensified viewer activities, particularly tips, and these effects are pronounced only after a live stream has been active for a while, manifesting in streams by more experienced, popular broadcasters."
7a16ceaf79eef739b4dbd7b0ce4e35bbcc976754,How (and When) the Presence of Food Decreases Enjoyment of Customer Experiences,2021-03-30,"The presence of food decreases the enjoyment of concurrent experiences, particularly positive ones, by prompting mental imagery of consuming the food, which reduces engagement with the target experience; this effect is moderated by the valence of the target experience and can also occur through instructed mental imagery in the absence of food."
bb8e12c1b3306a771542b4a07a9d3938f2c09383,How Do Fast-Fashion Copycats Affect the Popularity of Premium Brands? Evidence from Social Media,2023-03-05,"Fast-fashion copycats can harm high-end brands through a cannibalization effect and help them through a market expansion effect, influenced by both static and dynamic mechanisms."
3e79335080b97262a4fe2dc918c6eae4630e9d74,How Industries Use Direct-to-Public Persuasion in Policy Conflicts: Asymmetries in Public Voting Responses,2021-03-22,"Industries use direct-to-public persuasion strategies to gain public support, with effectiveness varying based on argument type and public suspicion, leading to asymmetric responses in voting behavior favoring activist groups."
0906f321f80049481e3f585e53f4020b1f3efc8d,"How Main Street Drives Wall Street: Customer (Dis)satisfaction, Short Sellers, and Abnormal Returns",2020-10-21,"Customer satisfaction positively influences abnormal stock returns, while customer dissatisfaction negatively influences abnormal stock returns, with short seller activity mediating this relationship. Additionally, customer satisfaction and dissatisfaction have a more significant impact on firms with low capital intensity and lower competitive intensity."
3315e294e07a749dde0dbc12c4030d4273b412e7,Improving Cancer Outreach Effectiveness Through Targeting and Economic Assessments: Insights from a Randomized Field Experiment,2019-11-05,"Targeted outreach marketing increases screening completion rates and improves the return on outreach programs, demonstrating significant variations in treatment effects based on patient demographics and other factors."
757dfacf7bc706d97940d7a5943e7635f3fff9ef,Improvised Marketing Interventions in Social Media,2020-01-28,"The effect of improvised marketing interventions (IMIs) on online virality and firm value is enhanced by humor and timeliness or unanticipation, as evidenced by five multimethod studies."
0809198cf579af11e6c16b2306e8acfbe553f4c7,In Mobile We Trust: The Effects of Mobile Versus Nonmobile Reviews on Consumer Purchase Intentions,2019-06-09,"Knowing a review was posted from a mobile device can lead consumers to have higher purchase intentions due to the assumption that mobile reviews are more physically effortful to craft, which is equated with greater credibility of the review."
80f2e47d01a7d07e2237565b8f73a0566dc2eab7,Putting the Person Back in Person-Brands: Understanding and Managing the Two-Bodied Brand,2019-05-17,"The interdependent relationship between person and brand can be managed through consistency and balance, with factors like mortality, hubris, unpredictability, and social embeddedness influencing brand value."
e66dd3daf6a2d13961a32a9dee7f27cc86a83013,Incentives Increase Relative Positivity of Review Content and Enjoyment of Review Writing,2021-03-30,"Incentives increase the relative positivity of review content and enhance the enjoyment of review writing, with the effect being stronger when incentives are strongly associated with review writing and when they transfer positive affect."
ee262677d58273fa4a5038b0add1b7e7d280a910,Increasing Team Performance by Sharing Success,2021-08-01,"The maximum contract, where team output is determined by the largest individual sales output, leads to greater overall team effort compared to the average contract when team members have heterogeneous sales abilities, as the increase in effort from stronger team members exceeds the decrease in effort from weaker team members."
a7123c7e8cef316458af8f9d05585951837f3b73,Influencer Mix Strategies in Livestream Commerce: Impact on Product Sales,2023-10-28,"The effectiveness of influencer marketing strategies in livestream commerce is influenced by the mix of big and small influencers, where a negative interaction effect exists between them, and the sales generated by a big influencer are adversely affected by prior promotions from small influencers, while small influencers are more effective at increasing conversion rates."
4f818ac7a12e4e65650dc1a116c45c8d28258639,Informational Challenges in Omnichannel Marketing: Remedies and Future Research,2020-11-04,"This article investigates the challenges of data access and integration, marketing attribution, and consumer privacy protection in omnichannel marketing, and argues that machine learning and blockchain technologies offer promising solutions while presenting new challenges and opportunities for firms."
cee1231ba345be500076d790127904ca6acb7cd4,Innovation Imprinting: Why Some Firms Beat the Post-IPO Innovation Slump,2023-03-01,"Firms that engage in innovation imprinting before going public attract investors whose risk preferences support breakthrough innovation, enabling them to maintain or exceed pre-IPO levels of breakthrough innovations after going public."
e45d7004714e10458eb550aba6416271e32aeea9,Onboarding Salespeople: Socialization Approaches,2022-01-13,"The decentralized onboarding program, which incorporates both individualized and institutionalized socialization tactics, leads to higher sales performance in salespeople compared to the centralized program, with performance benefits being amplified for those with managers having a narrower span of control and being appreciable for those transitioning from another job but negligible for those transitioning from school."
2885c8df649acb5ffd9155cf5c09cb7ab1f874a0,JM: Promoting Catalysis in Marketing Scholarship,2022-10-10,"Journals can serve as catalysts in marketing scholarship, facilitating knowledge transfer and engagement among stakeholders, thereby advancing the marketing discipline and its broader community."
2dbbc57c81d37fabf3f74ef6944c3c1d0033846b,Large-Scale Cross-Category Analysis of Consumer Review Content on Sales Conversion Leveraging Deep Learning,2017-05-24,"The study finds that aesthetics and price content significantly increase sales conversion across almost all product categories, with the impact of review content being higher when the average rating is higher, ratings variance is lower, the market is more competitive or immature, or brand information is not accessible. Additionally, reordering reviews based on content can have the same effect as a 1.6% price cut for boosting conversion."
a8739ff3409044480e2c44fe3b6abebb1011340a,Leveraging Creativity in Charity Marketing: The Impact of Engaging in Creative Activities on Subsequent Donation Behavior,2021-07-22,"Engaging potential donors in creative activities positively influences their donation behaviors, enhancing felt autonomy and inducing a positive affective state that leads to higher donation behaviors, which are mediated by perceptions of donation impact and a desire for mood maintenance. The effects are context independent and do not occur with noncreative activities."
b380266f77595a29de5d2f8d11ca6b63c52290e2,Machiavellianism in Alliance Partnerships,2023-03-01,"Machiavellianism in an alliance negatively influences collaborative learning, positively influences learning anxiety and use of power, and these factors mediate its impact on performance, with partners' collaborative history moderating these relationships."
653511a01f122c09a901cace1c62dd9bc436bd8f,Managing Laggards: The Importance of a Deep Sales Bench,2019-05-17,"The bench program, which involves the threat of replacement for poor performers, has a significant and sustained positive impact on the performance of laggards, especially when compared to a program with a similar threat but no replacement, indicating that the vividness of a threat enhances its deterrent value."
7edfeeabd0cc7f5c99194de1c50f70dcc7583dca,Marketing Ideas: How to Write Research Articles that Readers Understand and Cite,2021-03-02,"Scholars write unclearly due to the curse of knowledge, which leads to the use of more abstract, technical, and passive writing, making articles harder to understand and less likely to be cited."
0fb42854fbf576be4da5b713a0de35ddb09b1f6f,Marketplace Donations: The Role of Moral Identity Discrepancy and Gender,2020-02-10,"Women primed with moral traits give about 20% more than men, and this effect is influenced by the moral identity discrepancy, which is larger for women who have historically given less."
077cdbbf1626aa565949fa559829caa96e66a41b,Meaning of Manual Labor Impedes Consumer Adoption of Autonomous Products,2023-04-11,"The meaning of manual labor acts as a barrier to the adoption of autonomous products, with consumers who derive meaning from manual tasks evaluating these products less favorably and adopting them less frequently; however, emphasizing alternative sources of meaning can increase adoption."
9a263217823a7e259a23745ece87fb788fb1d8c5,Mickey D’s Has More Street Cred Than McDonald’s: Consumer Brand Nickname Use Signals Information Authenticity,2021-02-03,"Brand nickname use enhances perceived information authenticity and boosts purchase willingness and information sharing, with the effect being attenuated in firm-generated content."
1aa095c533673fcfdce92a979b0023b8569e8062,Multichannel Strategies for Managing the Profitability of Business-to-Business Customers,2019-03-25,A customer's search and purchasing in the seller's online channels positively interacts with both salesperson contact and customer-specific discounts to drive the seller's customer-level sales and profit return on these investments.
35018942a848da603e182311d2914fbb8d9889bb,Nonprofit Versus For-Profit Health Care Competition: How Service Mix Makes Nonprofit Hospitals More Profitable,2020-03-05,"Nonprofit hospitals achieve higher output, prices, and profits than for-profit hospitals by expanding their service mix with high-priced premium specialty medical services, and competition increases the differences between nonprofit and for-profit hospitals in PSMS breadth, output, and prices."
7c0ae01a53716ed18cdc4b1248e675ff781c0dfd,On the Path to Decolonizing Health Care Services: The Role of Marketing,2023-10-12,The deployment of marketing techniques and technologies can improve health outcomes for First Nations people and support the decolonization of health services.
36ff1b37f04714b5ad1bd106e6efccb9c93b7f50,Path to Purpose? How Online Customer Journeys Differ for Hedonic Versus Utilitarian Purchases,2020-03-12,"Consumers' information channel choices vary significantly with the hedonic or utilitarian characteristics of purchases, as evidenced by the differing usage patterns of social media, on-site product pages, and third-party reviews during the customer journey."
2de5cb59f107d7ec741adc4c1fe3775e4dbf12d1,Pleasant Ambient Scents: A Meta-Analysis of Customer Responses and Situational Contingencies,2020-01-01,"Exposure to pleasant ambient scents produces a substantial increase in customer responses (3%--15%), with effects depending on situational contingencies such as congruency, aroma structure, scent familiarity, service exchange, gender proportion, and offering type."
1637225efb590f49ebdcf70d31d655251cbd9d32,Political Identity and Financial Risk Taking: Insights from Social Dominance Orientation,2019-03-13,"Conservatives' financial risk taking increases with self-efficacy due to social dominance orientation, while liberals' financial risk taking remains invariant to self-efficacy; the mediating effect of focus on upside potential is present among conservatives but not liberals."
8da4a827b05b9534c998e645df5b94911b18c273,Price Promotions Cause Impatience,2020-02-01,"Incidental exposure to price promotions triggers reward seeking, which causes greater impatience in unrelated domains, as evidenced by increased willingness to pay to avoid waiting, shorter actual wait times, greater propensity to break rules to save time, and greater discounting in intertemporal choices, with effects being more pronounced for individuals with higher reward sensitivity and mediated by reward seeking."
96c956901002984caccdea256edd1f93d6135691,Context Information Can Increase Revenue in Online Display Advertising Auctions: Evidence from a Policy Change,2021-12-15,"Providing context information in online display advertising auctions increases average revenue per impression, particularly for reputable publishers and high-quality sites, while sites with thin markets do not experience a rise in prices."
c0f445add9e072b581730287ba617480dd614cae,Providers Versus Platforms: Marketing Communications in the Sharing Economy,2020-11-01,"Provider-focused marketing communications in peer-to-peer business models lead to higher consumer perceptions of provider independence, increased willingness to pay, and greater likelihood of purchase and app download, as consumers adopt an empathy lens."
7f80e908ed0869f0e24d4a9fd1291dab324c36ba,Commercial Success Through Commercials? Advertising and Pay-TV Operators,2021-06-11,"The study finds that consumers in the U.S. pay television service market are sensitive to advertising, particularly that of satellite operators, with ad elasticities of about .05--.06 for satellite operators compared to .02 for cable operators, and that asymmetric cost efficiencies in television advertising have benefited satellite operators more than cable operators, highlighting the interaction between advertising efficiencies and market competition."
36a871b591855a6e518213d5eb6d54a6cf54fac8,Relative Effectiveness of Print and Digital Advertising: A Memory Perspective,2018-09-01,"Print ads are more effective than digital ads in terms of encoding and engagement, leading to better memory retention, particularly due to superior encoding during initial exposure."
c25bea2f951f74fe31dd4b858539d777004394bf,Revenue Generation Through Influencer Marketing,2023-11-16,"Targeting low-followership influencers generates higher immediate revenue compared to high-followership influencers, with engagement mediating the negative relationship between influencer followership levels and return on investment."
9bd846f679a8bb32fd03e9b7d06efe0c27b439d3,Ritualistic Consumption Decreases Loneliness by Increasing Meaning,2021-04-01,"Ritualistic behavior involving consumer products reduces loneliness by increasing meaning in life, with the effect mediated by perceived product meaningfulness, and this effect is diminished when meaningfulness is derived incidentally."
f3cc8aa1f7d8fe477e92b48759f7a76094cf39f5,Selectively Emotional: How Smartphone Use Changes User-Generated Content,2019-01-23,"Smartphone use leads to the generation of briefer user-generated content that emphasizes emotional aspects over specific details compared to PC use, driven by the nature of smartphone constraints rather than user self-selection or other factors."
47585bf4d94508d22fa3716e4791acf817fd01a4,Shedding Light on the Dark Side of Firm Lobbying: A Customer Perspective,2021-05-20,"Lobbying negatively affects customer satisfaction, and this negative relationship is mediated by losses to customer satisfaction, with several customer-focused moderators attenuating this effect."
c93fd6d058411a719b5c8283b00038ec6f2ebe31,Should Your Brand Pick a Side? How Market Share Determines the Impact of Corporate Political Advocacy,2020-07-14,"The net effect of corporate political advocacy (CPA) at the market level is determined by a sorting process that benefits small-share brands and hurts large-share brands, with authenticity being a necessary condition for small-share brands to benefit."
35b813f71693068483b6c976aa2e80c0d45247e2,"Social Media, Influencers, and Adoption of an Eco-Friendly Product: Field Experiment Evidence from Rural China",2021-05-01,"The use of low-cost social media tools can effectively promote the adoption of a new eco-friendly pesticide in rural China by alleviating farmer uncertainty, although influencer credibility is necessary to resolve issues related to supplier credibility and product authenticity during the trial stage."
b84b20e3365dd5c57dd30531dc8d90f52d48990d,"Speed Up, Size Down: How Animated Movement Speed in Product Videos Influences Size Assessment and Product Evaluation",2020-05-22,"Consumers estimate the size of an immobile product to be smaller when it is animated to move faster in videos, influenced by learned size-speed associations, with various factors affecting this relationship, including perceived movement similarity, accessibility of positive size-speed associations, consumer knowledge, and explicit product size information."
bbcdbcf415d7ef276b403015119ff9178de65735,Task-Dependent Algorithm Aversion,2019-07-15,"Consumers are averse to relying on algorithms for subjective tasks, but increasing the perceived objectivity of these tasks and the algorithms' affective human-likeness can enhance trust and usage of algorithms."
9e752bdfefe7301995a2d499ce30d8873d0e0ed8,"The Commercial Consequences of Collective Layoffs: Close the Plant, Lose the Brand?",2020-02-26,"Following collective layoff announcements, layoff firms experience adverse changes in sales, advertising elasticity, and price elasticity, with a significant decrease in sales by 8.7%, advertising elasticity by 9.8%, and an increase in price elasticity by 19.2%, particularly influenced by announcement characteristics."
62c4494bcd62df216769f8c986683f59acad7488,The Concept of Authenticity: What It Means to Consumers,2021-05-20,"The authors reconceptualize authenticity as a holistic consumer assessment determined by six component judgments (accuracy, connectedness, integrity, legitimacy, originality, and proficiency), which vary according to the consumption context, and demonstrate that authenticity has consumer-relevant downstream consequences while being conceptually distinct from consumer attitudes."
078731ed09c195405a9ddfd10a9e3cbb344bd52b,The Control–Effort Trade-Off in Participative Pricing: How Easing Pricing Decisions Enhances Purchase Outcomes,2021-01-11,"This research proposes that firms' delegation of pricing decisions to consumers creates a control-effort trade-off, where greater pricing control is favored by consumers but the effort involved in deciding what to pay can deter purchase intentions; strategies that enhance feelings of control without increasing perceived effort can improve pricing outcomes."
3b9de45bbc71efe18814ce08f34776c67f3d5d1e,The Differential Effect of Local–Global Identity Among Males and Females: The Case of Price Sensitivity,2020-02-01,"Gender identity and local-global identity affect consumer price sensitivity, with identity incongruence depleting cognitive resources and inducing affective processing, leading to a sacrifice mindset and lower price sensitivity."
84abcd9dbefc4f935a8db126f159e9c8e58ac5e7,The Double-Edged Effects of E-Commerce Cart Retargeting: Does Retargeting Too Early Backfire?,2021-07-01,"Early e-commerce cart retargeting ads delivered within 30 minutes to one hour after cart abandonment have a negative impact on purchase rates compared to not delivering them, while late ads delivered one to three days after abandonment have a positive impact on purchases."
